SS_ID	SS_imperv	SS_rdlength	SS_canopy	SS_disttoroad	SS_lightroads	SS_secondaryroads	SS_primaryroads	SS_outliers	SS_resids										
ALF-1	0.024178	3518.62239	77.01720677	174.514185	3518.62239	0	0	4	-0.001682273										
AMH-1	0	0	72.88159404	3303.012454	0	0	0	5	-0.005511078										
AMH-2	0.0137236	3540.37582	74.26080733	667.409457	2084.99393	1455.3819	0	1	-0.00534291										
AMH-3	0	392.58078	71.79700855	3221.256863	392.58078	0	0	2	-0.00281882										
AMH-4	0	0	69.18881119	3243.767684	0	0	0	3	-0.004087663										
BAN-1	0.0216567	1766.36178	74.23512586	781.0339702	1766.36178	0	0	1	-0.004817141										
BAN-2	0.2844865	7709.47199	23.94879863	56.26202847	5599.71456	2109.7574	0	11	0.010088991										
BAN-5	0.0621056	1192.81101	56.99746193	713.6742609	1192.81101	0	0	2	-0.003959403										
BAN-6	0.0030123	93.62055	75.79161529	1189.408986	93.62055	0	0	3	-0.00116828										
BEN-1	0.0316597	1977.55543	69.81502724	679.8078342	1977.55543	0	0	0	-0.000520385										
BRU-1	0.1157062	11174.6169	43.35454285	32.17925436	11174.6169	0	0	2	0.001319139										
BRU-2	0.0346192	5254.14754	59.26808266	357.7108472	5254.14746	0	0	0	-0.004311908										
BRU-3	0.2321754	16370.10316	40.88933371	83.39428424	14132.32481	2237.7783	0	1	-0.004081716										
BUX-1	0.0289485	4411.85463	68.04385211	138.6588081	4411.85463	0	0	0	-0.003485124										
CUM-1	0.0831124	10699.06167	65.77927283	264.1386186	7833.45338	2865.6083	0	4	-0.000758071										
DIX-1	0.048092	5899.97969	77.91869453	48.72987729	3887.57865	2012.4011	0	0	-0.003534021										
EDG-1	0.0185495	4672.33957	65.34613181	103.9744709	4672.33957	0	0	0	-0.001393749										
ELL-1	0	2162.9227	79.7497133	2016.7157	2162.9227	0	0	2	-0.000984443										
FAL-1	0.0340966	7375.69834	63.11365588	234.6151095	5534.246	1841.4524	0	10	0.011917115										
FRA-1	0.0033134	0	76.30981067	1236.602677	0	0	0	5	0.00332514										
FRE-1	0.0443487	7625.34743	67.70317415	61.437778	7625.34743	0	0	1	-0.002355565										
FRE-2	0.0842889	14018.0591	65.3275961	50.22638404	7271.71832	2551.7628	4194.578	2	-0.002796892										
FRE-3	0.0403593	6121.64845	45.73619456	172.1501588	6121.64845	0	0	7	0.006974861										
GLS-1	0.0079706	2016.73422	75.54224138	5616.108349	2016.73422	0	0	8	0.001744492										
GLS-2	0.0010912	1028.96052	75.11419576	10109.70779	1028.96052	0	0	6	0.00196466										
GRE-1	0.0013303	0	67.34815027	5820.269499	0	0	0	2	-0.000947605										
GRE-2	0.0302287	7223.74871	37.86756293	35.71125748	7223.74871	0	0	1	-0.002467338										
GRE-3	0	0	63.26704871	3136.95299	0	0	0	3	-0.002529151										
GRE-4	0	230.33139	67.37560976	8472.954204	230.33139	0	0	3	0.001444228										
HAM-1	0.3396316	17964.68247	19.55364314	295.6437553	9414.81463	5000.217	3549.651	1	-0.005502504										
HAM-2	0.0797426	8868.06157	64.82893226	204.765605	3579.11784	0	5288.944	4	0.004833572										
HAM-3	0.0676235	5956.79893	46.08635974	168.9103065	3610.86773	2345.9313	0	1	-0.002987026										
HAM-4	0.1183971	6422.67348	30.39215686	236.0496643	3729.59589	2693.0777	0	1	0.000623237										
HAM-5	0.0895669	6441.08674	38.35483871	248.7672088	3740.70839	2700.3784	0	1	0.002289063										
JEF-1	0.015398	2649.11218	83.48781886	415.1290147	2649.11218	0	0	2	-0.001163365										
JEF-2	0.0114737	2986.47389	84.29740135	369.1720203	2986.47389	0	0	1	-0.004012882										
JEF-3	0.018954	3041.08291	75.81067126	71.7227169	3041.08291	0	0	1	-0.002304195										
JEF-4	0.0008123	0	79.13663707	1268.033574	0	0	0	0	-0.004685798										
JON-1	0.0168173	2322.35987	59.93556701	143.5012776	245.27992	2077.08	0	9	-0.006573439										
LIN-1	0.0507203	2675.1317	9.573191734	363.8363767	2675.1317	0	0	4	0.000256346										
LOV-1	0.0299547	4061.78408	71.1534937	157.6924368	2455.76979	1590.7859	0	1	-0.001924946										
LOV-2	0	1576.32761	69.71461318	1541.201896	1576.32761	0	0	5	0.000287471										
MNT-1	0.0267528	4531.31875	78.02264259	8.958314758	2864.48901	1666.8297	0	1	-0.000976922										
OGU-1	0.093395	11185.44449	74.09358901	450.083364	10455.23732	730.2072	0	5	-0.000464351										
ORO-1	0.0508415	5585.65411	60.27608945	417.3981403	5585.65411	0	0	4	-0.001821577										
ORO-10	0.0168111	4007.27485	73.59004392	28.33695448	4007.27485	0	0	1	-0.001947987										
ORO-3	0.0116787	3095.97574	69.75874928	626.7231203	3095.97574	0	0	1	-0.001473119										
ORO-4	0.0494826	5979.57848	68.57863076	395.2471573	5979.57848	0	0	2	-0.006788675										
ORO-5	0.0094394	6162.59568	76.60652921	149.3565891	6162.59568	0	0	1	-6.59E-05										
ORO-6	0.0390597	5635.56132	57.91253264	209.7830816	5635.56132	0	0	1	-0.001847813										
ORO-7	0.1757045	12054.26549	52.33744266	172.6448752	5112.05877	1826.5301	5115.677	4	0.003181537										
ORO-8	0.0444559	8850.45398	76.37125749	139.2351483	3539.62426	0	5310.83	2	-0.002887279										
OT-3	0.0860024	4198.36172	70.30274443	394.4503976	2378.313	1808.2038	0	3	-0.00141333										
PHI-1	0.0194542	3728.54216	80.38865004	6.848322048	3728.54216	0	0	1	-0.005274097										
PIT-1	0.093413	6254.64718	54.91289398	368.9133544	4480.56004	1774.0872	0	1	-0.000199005										
PRO-1	0.0263313	3672.78689	54.55081592	222.4553227	3672.78689	0	0	0	-0.000341159										
SBR-1	0.0527599	9420.65584	52.39713056	66.78745568	7443.47037	1977.1855	0	6	0.008827168										
SCA-1	0.1116702	13047.40987	51.411057	38.08325412	10856.09956	2191.3102	0	36	0.018073302										
SCA-2	0.084186	12282.73904	59.89099254	5.616913346	5980.46417	0	6302.275	5	0.006088463										
SEB-1	0.0070534	2431.57711	72.25107481	38.33108072	2431.57711	0	0	1	-0.004878248										
SHA-1	0.0088784	2452.72198	79.2713712	308.6523175	2452.72198	0	0	3	-0.005043453										
SKO-1	0.0456345	2215.62906	77.5106078	696.9536347	2215.62906	0	0	1	-0.002573623										
STA-1	0.0265524	3508.31228	57.88860252	518.3941758	1480.15119	2028.1611	0	1	-0.000708265										
STA-2	0.022694	2271.8317	58.67157743	285.3015217	2271.8317	0	0	1	0.000654067										
SUL-1	0.0192971	2004.46169	74.86181193	623.0276806	2004.46169	0	0	4	0.003126737										
TAT-1	0.0362934	6830.29451	75.89318442	275.2246181	6830.29451	0	0	5	-0.002394578										
TOP-1	0.0906528	9987.54877	49.22931577	104.4540878	5130.95725	1613.4407	3243.151	4	0.00729361										
WAL-1	0.0226549	2042.52925	54.70054395	52.77032477	2042.52925	0	0	1	-0.002431468										
WAY-1	0.0281737	4161.76975	67.79158317	111.9894478	4161.76975	0	0	1	0.001175337										
WEL-1	0.0664384	7541.84704	53.01315789	105.8009625	4984.91346	2556.9336	0	4	-0.001432967										
WEL-2	0.0066203	6799.03464	20.91637631	410.676038	4718.27742	2080.7572	0	13	0.009573598										
WEL-4	0.1863161	9937.08647	58.99827982	157.5257583	7591.07469	2346.0116	0	0	0.003192103										
WEY-2	0	0	76.69512894	3322.906414	0	0	0	9	0.010456252										
WEY-3	0.0106175	1944.62069	60.58211522	596.5730406	290.4613	1654.1595	0	2	0.002032015										
WG-1	0.0466172	5358.77066	71.52633085	388.1941745	5358.77066	0	0	2	-0.006627727										
WG-2	0.0487944	6368.85676	72.23529412	374.4026526	6368.85676	0	0	9	0.010820384										
WHI-1	0.0099603	2030.45835	73.8040676	4.733388999	0	2030.4583	0	7	-0.001757548										
WIL-1	0.0332871	5945.37222	67.56697195	205.5615321	4044.46881	1900.9033	0	7	-0.005931656										
WLM-1	0.0189799	5153.15735	64.19690899	228.946638	3431.6081	1721.5492	0	2	0.006639297										
WM-2	0	0	81.90353144	3766.328772	0	0	0	3	-0.002485464										
WM-3	0.0150887	0	76.59231651	4116.039825	0	0	0	3	-0.001814003										
WM-4	0.0170783	3139.98581	73.54266896	14.73145459	1080.70933	2059.2764	0	0	-0.005621301										
WOL-1	0.0488119	7066.88347	48.83792312	6.186947129	4693.27328	2373.6101	0	0	-0.001809585										
WOO-1	0	0	82.60751147	2580.730473	0	0	0	0	-0.002898575										
YAR-1	0.1066449	10025.76142	51.59627507	102.8323117	10025.76142	0	0	5	0.005352224										
YAR-2	0.0246212	3286.60422	66.03041607	440.727353	3286.60422	0	0	1	0.000330147										
YOR-1	0.0887369	13843.14468	49.79759174	354.7231713	12737.78732	1105.3573	0	61	0.022666245										
YOR-2	0.0321173	5395.22932	65.76711544	335.4979883	3826.64675	1568.5825	0	6	0.003448974										
YOR-3	0.0995724	10872.65045	67.36759233	130.3034849	6452.80245	1578.5664	2841.282	9	-0.004410847										
YOR-4	0.0745326	10549.54019	77.75164898	409.7355154	6600.02376	0	3949.516	3	-0.002971572										
